item	subtype	subsubtype	optionality	response
Clock tower	Spire clock tower	-	"walls: F
clock face: F
internal mechanism: F
spire: F"	"1. walls: brick, stone, or concrete
2. clock face: glass and metal
3. internal mechanism: metal and electronics
4. spire: metal, stone, or wood"
Clock tower	Campanile clock tower	-	"walls: F
roof: F
clock face: F
internal mechanism: F
bell chamber: F"	"1. walls: stone or brick
2. roof: metal or tiles
3. clock face: glass and metal
4. internal mechanism: metal and electronics
5. bell chamber: metal"
Clock tower	Digital clock tower	-	"walls: F
roof: F
digital display: F
internal mechanism: F"	"1. walls: stone or brick or metal or concrete
2. roof: metal or tiles
3. digital display: electronics and glass or plastic
4. internal mechanism: electronics and metal"
Clog	-	-	"upper part: F
sole: F"	"1. upper part: leather or wood
2. sole: wood or synthetic materials"
Cloth face mask	Homemade cloth mask	-	"body: F
ear loops or ties: F
nose bridge: T
filter pocket: T"	"1. body: cotton, silk, linen, or synthetic fabric
2. ear loops or ties: elastic, fabric, or rubber
3. nose bridge: wire or plastic
4. filter pocket: cotton, silk, linen, or synthetic fabric"
Clothes dryer	Vented dryer	-	"drum: F
motor: F
lint trap: F
vent hose: F
control panel: F
door: F"	"1. drum: stainless steel or coated steel
2. motor: metals and electronics
3. lint trap: metal or nylon
4. vent hose: aluminum or plastics
5. control panel: plastics and electronics
6. door: glass and plastics"
Clothes dryer	Condenser dryer	-	"drum: F
motor: F
lint trap: F
condenser unit: F
control panel: F
door: F"	"1. drum: stainless steel
2. motor: metals and electronics
3. lint trap: plastic or metal
4. condenser unit: metals and plastics
5. control panel: electronics and plastics
6. door: glass and plastic"
Clothes dryer	Heat pump dryer	-	"drum: F
motor: F
lint trap: F
heat pump: F
control panel: F
door: F"	"1. drum: stainless steel or coated steel
2. motor: metal, electronics
3. lint trap: plastic or metal
4. heat pump: metal, electronics, and refrigerant
5. control panel: plastic, metal, and electronics
6. door: glass and plastic or coated steel"
Clothes hanger	-	-	"hook: F
body: F
shoulder form: F"	"1. hook: metal or plastic
2. body: wood, metal, or plastic
3. shoulder form: wood, metal, or plastic"
Clothes iron	Dry iron	-	"soleplate: F
handle: F
temperature control dial: F
heat indicator light: T
power cord: F
internal mechanism: F"	"1. soleplate: aluminum or stainless steel
2. handle: plastic
3. temperature control dial: plastic and/or metal
4. heat indicator light: electronics and plastics
5. power cord: copper and insulation material
6. internal mechanism: electronics, metal, and plastics"
Clothes iron	Steam iron	-	"soleplate: F
handle: F
temperature control dial: F
water reservoir: F
steam holes: F
heat indicator light: T
power cord: F
internal mechanism: F"	"1. soleplate: stainless steel, ceramic, and/or aluminium
2. handle: plastic
3. temperature control dial: plastic and metal
4. water reservoir: plastic
5. steam holes: metal
6. heat indicator light: electronics and plastic
7. power cord: copper and rubber or plastic
8. internal mechanism: electronics, metal, and plastic"
Clothes line	-	-	"line: F
support: F"	"1. line: cotton, nylon, or polyester
2. support: metal or plastic"
Clothespin	-	-	"two prongs: F
spring: F"	"1. two prongs: wood or plastic
2. spring: metal"
Club (weapon)	Simple club	-	"handle: F
head: F"	"1. handle: wood or metal
2. head: wood, metal, or reinforced plastic"
Club (weapon)	Reinforced club	-	"handle: F
head: F
binding: F
studs: T"	"1. handle: wood or metal
2. head: metal or hard wood
3. binding: leather or metal
4. studs: metal"
Club (weapon)	Weighted club	-	"handle: F
head: F
weighted core: F"	"1. handle: wood or metal
2. head: metal
3. weighted core: metal or lead"
Club (weapon)	Cudgel	-	"handle: F
head: F
grip: T
knob: F"	"1. handle: wood
2. head: wood or metal
3. grip: leather
4. knob: wood or metal"
Club (weapon)	Shillelagh	-	"handle: F
head: F
bark: T
knob: F"	"1. handle: wood
2. head: wood
3. bark: wood
4. knob: wood"
Club (weapon)	Baton	-	"handle: F
head: F
grip: F"	"1. handle: metal or rubber
2. head: metal
3. grip: rubber"
Club (weapon)	Mace	-	"handle: F
head: F
flanges: T"	"1. handle: wood or metal
2. head: metal
3. flanges: metal"
Club (weapon)	War hammer	-	"handle: F
head: F
hammer face: F
spike: T"	"1. handle: wood or metal
2. head: metal
3. hammer face: metal
4. spike: metal"
Club (weapon)	Kanabō	-	"handle: F
head: F
spikes: F"	"1. handle: wood
2. head: metal
3. spikes: metal"
Coach (bus)	Single-decker coach	-	"chassis: F
body: F
wheels: F
engine: F
seats: F"	"1. chassis: steel
2. body: aluminum or steel
3. wheels: steel and rubber
4. engine: metals, plastics, and electronics
5. seats: fabric and/or leather and foam"
Coach (bus)	Double-decker coach	-	"chassis: F
body: F
wheels: F
engine: F
seats: F
upper deck: F"	"1. chassis: steel and/or aluminum
2. body: aluminum, steel, and/or fiberglass
3. wheels: rubber and/or metal
4. engine: steel, aluminum, and various electronics
5. seats: fabric, leather, and/or vinyl
6. upper deck: aluminum, steel, and/or composite materials"
Coach (bus)	Articulated coach	-	"chassis: F
body: F
wheels: F
engine: F
seats: F
articulation joint: F"	"1. chassis: steel
2. body: aluminum, steel, and/or fiberglass
3. wheels: rubber and metal
4. engine: metal, electronics
5. seats: fabric, leather, and/or vinyl
6. articulation joint: metal, rubber, and/or composite materials"
Coach (carriage)	-	-	"body: F
frame: F
wheels: F
undercarriage: F
passenger compartment: F
driver's seat: T
roof: T
luggage storage: T"	"1. body: wood and/or metal
2. frame: metal
3. wheels: wood, metal, and rubber
4. undercarriage: metal and/or wood
5. passenger compartment: wood, metal, textiles, and leather
6. driver's seat: leather and/or textiles
7. roof: canvas or leather
8. luggage storage: wood, metal, and/or leather"
Coastal motor boat	-	-	"hull: F
deck: F
engine: F
rudder: F
propeller: F"	"1. hull: fiberglass, metal, or wood
2. deck: fiberglass, metal, or wood
3. engine: metal and electronics
4. rudder: metal or composite materials
5. propeller: metal or composite materials"
Coat	Overcoat	-	"collar: F
lapels: F
front: F
sleeves: F
pockets: F
lining: F"	"1. collar: wool or synthetic fiber
2. lapels: wool or synthetic fiber
3. front: wool or synthetic fiber
4. sleeves: wool or synthetic fiber
5. pockets: wool or synthetic fiber
6. lining: silk, polyester, or acetate"
Coat	Trench coat	-	"collar: F
lapels: F
front: F
sleeves: F
pockets: F
belt: F
lining: F
epaulettes: T
storm flap: T"	"1. collar: cotton, wool, leather, or synthetic fibers
2. lapels: cotton, wool, leather, or synthetic fibers
3. front: cotton, wool, leather, or synthetic fibers
4. sleeves: cotton, wool, leather, or synthetic fibers
5. pockets: cotton, wool, leather, or synthetic fibers
6. belt: cotton, wool, leather, or synthetic fibers
7. lining: silk, polyester, or nylon
8. epaulettes: cotton, wool, leather, or synthetic fibers
9. storm flap: cotton, wool, leather, or synthetic fibers"
Coat	Raincoat	-	"collar: F
front: F
sleeves: F
pockets: F
hood: T
lining: T"	"1. collar: nylon or polyester
2. front: nylon or polyester
3. sleeves: nylon or polyester
4. pockets: nylon or polyester
5. hood: nylon or polyester
6. lining: nylon, polyester, and/or cotton"
Coat	Parka	-	"collar: F
front: F
sleeves: F
pockets: F
hood: F
lining: F
drawstrings: T"	"1. collar: fur and/or synthetic fibers
2. front: nylon or polyester
3. sleeves: nylon or polyester
4. pockets: nylon or polyester
5. hood: nylon or polyester with fur and/or synthetic fibers lining
6. lining: down or synthetic fibers
7. drawstrings: cotton, nylon, or polyester"
Coat	Pea coat	-	"collar: F
lapels: F
front: F
sleeves: F
pockets: F
lining: F
large buttons: F"	"1. collar: wool or polyester
2. lapels: wool or polyester
3. front: wool or polyester
4. sleeves: wool or polyester
5. pockets: wool, polyester or cotton
6. lining: polyester or silk
7. large buttons: plastic or metal"
Coat	Fur coat	-	"collar: F
front: F
sleeves: F
pockets: F
lining: F
fur exterior: F"	"1. collar: fur
2. front: fur
3. sleeves: fur
4. pockets: fur and/or leather
5. lining: silk, satin, or polyester
6. fur exterior: real fur or synthetic fur"
Coat	Duffle coat	-	"hood: F
front: F
sleeves: F
pockets: F
toggles: F
loops: F
lining: F"	"1. hood: wool or a wool blend
2. front: wool or a wool blend
3. sleeves: wool or a wool blend
4. pockets: wool or a wool blend
5. toggles: wood or horn
6. loops: leather
7. lining: polyester or viscose"
Coat of arms	Shield in Heraldry	-	-: F	wood, metal, or plastic
Coat of arms	Heraldic Helmet	-	-: F	metal or leather
Coat of arms	Heraldic Crest	-	"mantle: F
wreath: F
crest: F"	"1. mantle: fabric or silk
2. wreath: metal or embroidered textile
3. crest: metal, wood, or embroidered textile"
Coat of arms	Coat of arms with supporters	-	-: F	wood, metal, or stone
Coat of arms	Motto	-	"scroll: F
motto: T"	"1. scroll: paper or textile
2. motto: ink"
Coat of arms	Coat of Arms Compartment	-	-	-
Cobblestone	-	-	-: F	granite, basalt, limestone, sandstone, and/or concrete
Cocktail dress	-	-	"bodice: F
skirt: F"	"1. bodice: silk, cotton, polyester, and/or nylon
2. skirt: silk, cotton, polyester, and/or nylon"
Coffee cup	-	-	"body: F
handle: T"	"1. body: ceramic or glass or plastic or paper
2. handle: ceramic or glass or plastic"
Coffee filter	Basket coffee filter	-	"body: F
rim: F"	"1. body: paper
2. rim: paper"
Coffee filter	Cone coffee filter	-	"body: F
tip: F"	"1. body: paper
2. tip: paper"
Coffee filter	Disk coffee filter	-	-: F	paper
Coffee filter	Permanent coffee filter	-	"body: F
mesh: F"	"1. body: metal or plastic
2. mesh: stainless steel or nylon"
Coffee filter	Cloth coffee filter	-	"body: F
cloth: F"	"1. body: cotton or hemp
2. cloth: cotton or hemp"
Coffee table	-	-	"top: F
legs: F"	"1. top: wood, metal, glass, and/or plastics
2. legs: wood, metal, and/or plastics"
Coffee table book	-	-	"cover: F
pages: F"	"1. cover: paper, cloth, and/or leather
2. pages: paper"
Coffeemaker	Drip coffeemaker	-	"water reservoir: F
filter basket: F
heating element: F
carafe: F
hot plate: F"	"1. water reservoir: plastic
2. filter basket: plastic or metal
3. heating element: metal and electronics
4. carafe: glass or plastic
5. hot plate: metal"
Coffeemaker	Pod coffeemaker	-	"water reservoir: F
pod compartment: F
pump: F
heating element: F"	"1. water reservoir: plastic
2. pod compartment: plastic and/or metal
3. pump: metal and electronics
4. heating element: metal and ceramics"
Coffeemaker	Espresso machine	-	"water reservoir: F
portafilter: F
pump: F
boiler: F
steam wand: T"	"1. water reservoir: plastic or metal
2. portafilter: metal
3. pump: metal and electronics
4. boiler: metal
5. steam wand: metal"
Coffeemaker	Percolator	-	"water chamber: F
coffee chamber: F
filter: F
cover: F
heating element: F"	"1. water chamber: stainless steel, aluminum, or glass
2. coffee chamber: stainless steel, aluminum, or glass
3. filter: metal or paper
4. cover: stainless steel, aluminum, glass, or plastic
5. heating element: metal"
Coffeemaker	French press	-	"carafe: F
plunger: F
filter: F
lid: F"	"1. carafe: glass or stainless steel
2. plunger: metal and/or plastic
3. filter: stainless steel
4. lid: metal or plastic"
Coffeemaker	Siphon brewer	-	"lower chamber: F
upper chamber: F
siphon tube: F
filter: F
heat source: F"	"1. lower chamber: glass or metal
2. upper chamber: glass or metal
3. siphon tube: glass or metal
4. filter: cloth, paper, or metal
5. heat source: metal"
Coffeemaker	Moka pot	-	"lower chamber: F
filter basket: F
upper chamber: F
gasket: F"	"1. lower chamber: aluminum or stainless steel
2. filter basket: aluminum or stainless steel
3. upper chamber: aluminum or stainless steel
4. gasket: rubber or silicone"
Coffin	Traditional coffin	-	"base: F
lid: F
sides: F
ends: F
handles: F"	"1. base: wood or metal
2. lid: wood or metal
3. sides: wood or metal
4. ends: wood or metal
5. handles: metal or plastic"
Coffin	Casket	-	"base: F
lid with split half: T
sides: F
ends: F
handles: F
lining: T"	"1. base: wood or metal
2. lid with split half: wood or metal
3. sides: wood or metal
4. ends: wood or metal
5. handles: metal or plastic
6. lining: satin, silk, cotton, or velvet"
Coffin	Eco-coffin	-	"base: F
lid: F
sides: F
ends: F"	"1. base: wood or bamboo or cardboard
2. lid: wood or bamboo or cardboard
3. sides: wood or bamboo or cardboard
4. ends: wood or bamboo or cardboard"
Coffin	Cremation coffin	-	"base: F
lid: F
sides: F
ends: F
combustible material: F"	"1. base: wood or cardboard
2. lid: wood or cardboard
3. sides: wood or cardboard
4. ends: wood or cardboard
5. combustible material: wood, cardboard, or natural fiber textiles"
Coil spring	-	-	-: F	steel
Coin wrapper	-	-	-: F	paper
Colander	-	-	"bowl: F
holes: F
handles: T
base: T"	"1. bowl: stainless steel, plastic, or enamel coated metal
2. holes: stainless steel, plastic, or enamel coated metal
3. handles: stainless steel, plastic, or enamel coated metal
4. base: stainless steel, plastic, or enamel coated metal"
Collar (animal)	Buckle collar	-	"strap: F
buckle: F
D-ring: T
loop: F"	"1. strap: leather, nylon, or polyester
2. buckle: metal or plastic
3. D-ring: metal
4. loop: leather, nylon, metal, or plastic"
Collar (animal)	Breakaway collar	-	"strap: F
breakaway clasp: F"	"1. strap: nylon or polyester
2. breakaway clasp: plastic"
Collar (animal)	Martingale collar	-	"main loop: F
control loop: F
D-ring: F"	"1. main loop: nylon, polyester, or leather
2. control loop: nylon, polyester, or leather
3. D-ring: metal"
Collar (animal)	Flea collar	-	"strap: F
active substance carrier: F"	"1. strap: plastic or fabric
2. active substance carrier: plastic and chemical repellents"
Collar (animal)	Elizabethan collar	-	"cone: F
fastening straps or tabs: F"	"1. cone: plastic or cardboard
2. fastening straps or tabs: cloth, Velcro, or plastic"
Collar (clothing)	-	-	"band: F
points: F
fold: F"	"1. band: fabric
2. points: fabric
3. fold: fabric"
Collar (jewelry)	Choker	-	-: F	metal, leather, fabric, plastic, and/or precious stones
Collar (jewelry)	Bib necklace	-	"band: F
bib: F"	"1. band: metal, fabric, and/or leather
2. bib: metal, fabric, leather, beads, and/or gemstones"
Collar (jewelry)	Chain collar necklace	-	-: F	silver, gold, stainless steel, platinum, titanium, and/or brass
Collar (jewelry)	Torc	-	-: F	gold, silver, bronze, or iron
Collar (jewelry)	Lavalier	-	"chain: F
pendant: F"	"1. chain: gold, silver, platinum, or stainless steel
2. pendant: gold, silver, platinum, stainless steel, gemstones, and/or enamel"
Collar (jewelry)	Multi-strand collar necklace	-	-: F	Metals, gemstones, beads, and/or pearls
Coloring book	-	-	"cover: F
pages: F"	"1. cover: paper or cardboard
2. pages: paper"
Column	Doric column	-	"shaft: F
capital: F
base: T
fluting: T"	"1. shaft: stone or concrete
2. capital: stone or concrete
3. base: stone or concrete
4. fluting: stone or concrete"
Column	Ionic column	-	"shaft: F
capital with volutes: F
base: F
fluting: T"	"1. shaft: marble or granite
2. capital with volutes: marble or granite
3. base: marble or granite
4. fluting: marble or granite"
Column	Corinthian column	-	"shaft: F
capital with acanthus leaves: F
base: F
fluting: T"	"1. shaft: marble or limestone
2. capital with acanthus leaves: marble or limestone
3. base: marble or limestone
4. fluting: marble or limestone"
Column	Tuscan column	-	"shaft: F
simple capital: F
base: F"	"1. shaft: marble or granite
2. simple capital: marble or granite
3. base: marble or granite"
Column	Composite column	-	"shaft: F
capital with volutes and acanthus leaves: F
base: F
fluting: T"	"1. shaft: concrete and/or stone
2. capital with volutes and acanthus leaves: stone or concrete
3. base: stone or concrete
4. fluting: concrete and/or stone"
Column	Solomonic column	-	"twisted shaft: F
capital: F
base: F"	"1. twisted shaft: stone or wood
2. capital: stone or wood
3. base: stone or wood"
Comb	-	-	"spine: F
teeth: F"	"1. spine: plastic or metal
2. teeth: plastic or metal"
Combat boot	Standard issue combat boot	-	"upper: F
sole: F
insole: F
outsole: F
toe cap: F
heel: F
laces: F"	"1. upper: leather or synthetic leather
2. sole: rubber or polyurethane
3. insole: textile or foam
4. outsole: rubber
5. toe cap: leather or steel or composite materials
6. heel: leather or rubber or synthetic material
7. laces: cotton or nylon or polyester"
Combat boot	Jungle combat boot	-	"upper: F
sole: F
insole: F
outsole: F
toe cap: F
heel: F
laces: F
drainage holes: F"	"1. upper: leather and/or nylon
2. sole: rubber
3. insole: foam, fabric
4. outsole: rubber
5. toe cap: steel or hardened plastic
6. heel: leather and/or rubber
7. laces: nylon or cotton
8. drainage holes: metal grommets"
